url_code,time_utc,type,caption,likes,comments
CyjzsXstzGU,2023-10-19 00:00:31,GraphImage,"The highest mortgage rates in 23 years are dragging down home sales to their lowest levels since the subprime crisis period.⁠
⁠
Sales of previously owned homes in 2023 are expected to dwindle to a rate not seen since at least 2011, when the U.S. population was smaller and the country was still recovering from one of the worst housing crises ever, according to many economist forecasts.⁠
⁠
Chen Zhao, economics research lead at real-estate brokerage Redfin, estimated that total existing-home sales in 2023 would amount to around 4.1 million, which would mark the smallest number of sales since about 2008, the year that Lehman Brothers collapsed and sparked the global financial crisis. Zhao said sales are unlikely to pick up much next year, with mortgage rates likely to remain at elevated levels. ⁠
⁠
This year’s housing slowdown is very different from the previous one, after the housing bubble of the early 2000s burst. Back then, the economy entered a deep recession and millions of people lost their homes to foreclosure. ⁠
⁠
This time around, home sales have been slowing for more than a year because of rising borrowing costs, record-high home prices and a very limited inventory of homes for sale. ⁠
⁠
If existing-home sales for the full year end up even lower than expected at fewer than four million, that would mark the first drop below that level since 1995, according to the National Association of Realtors. ⁠
⁠
Read more at the link in our bio.",7212,187
CyjFKU4ANVr,2023-10-18 17:13:49,GraphImage,"The U.S. has collected “high confidence” signals intelligence showing that the explosion at a Gaza hospital compound on Tuesday was caused by the militant group Palestinian Islamic Jihad, U.S. officials said, buttressing Israel’s contention that it wasn’t responsible for the blast.⁠
⁠
The U.S. assessment drew, in part, on communications intercepts and other intelligence gathered by the U.S., defense officials said.⁠
⁠
“Our current assessment, based on analysis of overhead imagery, intercepts and open source information, is that Israel is not responsible for the explosion at the hospital in Gaza,” White House National Security Council spokeswoman Adrienne Watson said, adding that the U.S. continues to collect information on the incident.⁠
⁠
“I was deeply saddened and outraged by the explosion of the hospital in Gaza yesterday, and based on what I’ve seen, it appears as though it was done by the other team—not you,” President Biden said Wednesday while alongside Israeli Prime Minister Benjamin Netanyahu.⁠
⁠
U.S. officials added that Israel shared its own independent intelligence assessment with the U.S. shortly before Biden departed to Israel, partially in an effort to exonerate itself.⁠
⁠
Biden later told reporters that he made his statement based on “the data I was shown by my defense department.” The Pentagon referred questions to the White House.⁠
⁠
Arab leaders continued to assert that Israel was responsible for the explosion at Al-Ahli Arab Hospital, which according to the Hamas-run Gaza Health Ministry killed nearly 471 people.⁠
⁠
The accounts of the blast and the death toll couldn’t be independently verified. A toll of nearly 500 would make it the single deadliest incident in Gaza since the start of the war.⁠
⁠
This is a developing story. Read more at the link in our bio.⁠
⁠
Photo: Abed Khaled/AP",22573,4124
Cyi6D81NHfm,2023-10-18 15:39:25,GraphVideo,"OpenAI CEO Sam Altman expressed reservations about people’s relationships with artificial intelligence.⁠
⁠
Speaking at the #WSJTechLive conference, Altman said that AI personalization is a great thing, but that people should not confuse AI with humans.⁠
⁠
Watch the full interview at the link in our bio.⁠
⁠
Photo: Patrick T. Fallon/AFP/Getty Images",2714,107
CyhVwlFhEBt,2023-10-18 01:00:26,GraphImage,"The Sinaloa cartel, the leading exporter of fentanyl to the U.S., is prohibiting the production and trafficking of the illegal opioid in its territory after coming under increasing pressure from U.S. law enforcement, cartel members say.⁠
⁠
The order comes from the “Chapitos,” the group led by the four sons of imprisoned drug lord Joaquín “El Chapo” Guzmán, who transformed the Sinaloa cartel into a global empire managing the supply of narcotics, from Mexican heroin to Colombian cocaine and fentanyl made with precursors from Asia.⁠
⁠
The directive from the most powerful faction within the criminal group aims to evade pressure from U.S. law enforcement, operatives say, though some U.S. officials are skeptical that the ban will endure.⁠
⁠
The Biden administration is pushing the Mexican government to take more aggressive steps to dismantle the organization, considered by the U.S. to be the top fentanyl trafficking group. U.S. deaths from fentanyl have become an American political issue, with some Republicans, including lawmakers and others running for president, advocating to send the U.S. military into Mexico to fight criminal groups trafficking fentanyl.⁠
⁠
For the many people in this northwestern Mexican region who make a living producing and smuggling an opioid that has killed tens of thousands of Americans, the message was clear: stop or die. In June, when the shift away from fentanyl began, three bodies covered with blue pills of the drug appeared on the outskirts of Culiacán.⁠
⁠
Read more at the link in our bio.⁠
⁠
📷: @yaelmtzv for @wsjphotos",17274,460
CyhFY_OM4Qx,2023-10-17 22:40:06,GraphVideo,"A strike hit a hospital in Gaza Tuesday, killing at least 500 people, Palestinian officials said, in one of the deadliest single incidents of violence in the strip.⁠
⁠
The blast came hours before President Biden was expected to visit Israel in a show of support.⁠
⁠
Follow live coverage at the link in our bio.",10787,2849
CygbYiSsnoa,2023-10-17 16:33:07,GraphVideo,"Arnold Schwarzenegger says aging political leaders should step aside and make room for a new generation.⁠
⁠
Speaking at the #WSJTechLive conference, the former California governor alluded to recent instances of Senate Minority Leader Mitch McConnell freezing and falling silent, without naming him, and addressed President Biden’s re-election bid.⁠
⁠
Watch the full interview at the link in our bio.⁠
⁠
📷: Nikki Ritcher for @wsjphotos",4067,238
CygTFxSMlLw,2023-10-17 15:20:37,GraphVideo,"The Israeli military said Tuesday it attacked 200 targets in Gaza overnight, a day before President Biden is expected to visit Israel.⁠
⁠
Gaza health officials said 2,808 Palestinians have been killed in the enclave.⁠
⁠
Follow live coverage.",3760,1224
CyejPDWstCh,2023-10-16 23:00:27,GraphImage,"U.S. gun maker Remington signed a previously undisclosed deal to put one of its rifles in the popular videogame franchise Call of Duty as part of a marketing plan to reach young customers, according to internal emails and company records.⁠
⁠
The documents from Remington Arms—which was part of a firearms conglomerate called Freedom Group—are being disclosed by a lawyer who obtained them in a lawsuit filed by parents of children killed in the 2012 Sandy Hook Elementary School massacre. Last year they settled with Remington, which made the AR-15 used by the killer, for $73 million. ⁠
⁠
Digital replicas of real guns have appeared in numerous videogames, and executives from both industries have acknowledged they signed partnerships for that purpose. But they haven’t disclosed the details of such deals or discussed the motivations behind them.⁠
⁠
The documents, from the late 2000s and early 2010s, show Remington and Freedom Group officials pursued deals to place their guns in shooter videogames as part of a marketing push for new audiences because they were concerned their customer base was aging.⁠
⁠
Executives at the gun giant, which was owned by private-equity company Cerberus and filed for bankruptcy in 2020, believed such deals would “help create brand preference among the next generation,” and allow the company to “win our fair-share of these young consumers,” according to an undated Freedom Group memo titled “Gaming Strategy.”⁠
⁠
The records show Remington signed a deal in 2009 with videogame publisher Activision Blizzard to put a new weapon called the Adaptive Combat Rifle, or ACR, in its 2009 release “Call of Duty: Modern Warfare 2.” Remington hoped to sell civilian and military versions of the ACR, a modular rifle that uses design elements from several other weapons including the AR-15. ⁠
⁠
Activision and Remington didn’t exchange money as part of the agreement, which they agreed to keep confidential. ⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo: Activision",10027,335
Cyd4ZPGMeKQ,2023-10-16 16:46:46,GraphVideo,"A doctor described the situation at Gaza’s largest hospital as “an impending public health catastrophe.”⁠
⁠
Clinics have been overrun by the wounded as well as people seeking shelter from Israeli airstrikes.⁠
⁠
Follow live coverage at the link in our bio.⁠
⁠
Photo: Dawood Nemer/AFP/Getty Images",7252,1099
Cydx63RtQpb,2023-10-16 15:49:40,GraphImage,"“Taylor Swift: The Eras Tour” grossed an estimated $126 million to $130 million in global ticket sales its opening weekend, according to AMC Theatres Distribution, putting it on par with some of the year’s biggest theatrical debuts.⁠
⁠
Domestically, Swift’s film took in an estimated $95 million to $97 million, out-grossing several high-profile studio disappointments this year, such as “Indiana Jones and the Dial of Destiny,” “Fast X” and “The Flash.”⁠
⁠
The movie’s performance is one of the strongest ever for a film released in October. It is also on pace to set a record for a concert film. Its success highlights fans’ insatiable demand for chances to see Swift, whose Eras Tour sold out stadiums nationwide this summer and is scheduled to continue overseas and at home through next year. It is on track to become the biggest concert tour in history.⁠
⁠
Swift took the unusual step of making a direct deal with AMC, the world’s biggest theater operator, instead of teaming up with a Hollywood studio to distribute her concert film. She also imposed some conditions.⁠
⁠
Theaters can only show the film Thursday through Sunday, and the suggested ticket price is $19.89, a nod to Swift’s birth year. The suggested price for children is $13.13, her lucky number.⁠
⁠
Read more at the link in our bio.",7407,112
Cyb-a5-M4h4,2023-10-15 23:00:16,GraphImage,"An accounting career, once a launchpad into the upper middle class for hundreds of thousands of Americans, is no longer paying off.⁠
⁠
Salaries have risen for young people in finance, marketing, logistics and consulting in recent years. Even young teachers have seen a slight uptick. At the same time, the median, inflation-adjusted pay for young accountants has stagnated, according to a WSJ analysis of salary data compiled by the Census Bureau.⁠
⁠
Adjusted for inflation, 20-somethings’ accounting salaries stayed at about $56,000 since the 2008 financial crisis.⁠
⁠
This pay disparity is a major reason why fewer people are choosing accounting careers, threatening to worsen an already dire shortage of accountants. Some of the nation’s largest college accounting programs, such as Florida Atlantic University and the University of Maryland, have seen their enrollment or number of undergraduate majors decline by double-digit percentages in recent years. That has led to even greater workloads for existing accountants, and more than 300,000 have left the profession between 2019 and 2022, according to the Bureau of Labor Statistics.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo illustration: Daisy Korpics/The Wall Street Journal; iStock",9072,293
Cybi-LRs9wT,2023-10-15 19:00:27,GraphImage,"WeightWatchers Chief Executive Sima Sistani hears from them all of the time, those customers she thinks her company has failed. They fill her Instagram inbox with messages detailing their years on the WeightWatchers count-your-points program, a frustrating pattern of fluctuating weight that only made them feel like they weren’t trying hard enough.⁠
⁠
Today, Sistani has a message for her members: It’s not your fault.⁠
⁠
“We introduced the shame for people for whom diet and exercise wasn’t enough,” she said at a recent event, seated next to the company’s investor, board director and the most famous dieter in America, Oprah Winfrey.⁠
⁠
For decades, WeightWatchers told the world that weight loss came through sheer willpower—“choice, not chance,” as its founder, Jean Nidetch, said in the 1960s. Now, thanks to new drugs like Ozempic, Sistani is rejecting that blame-the-dieter approach in favor of the view that obesity is an illness—one her company can help cure.⁠
⁠
The promise that a doctor’s prescription can eliminate extra weight for good has touched off a seismic moment in global health, and compelled WeightWatchers to undergo its most radical change yet.⁠
⁠
So that it could prescribe weight-loss drugs, the company paid $106 million to acquire telehealth company Sequence. But Sistani’s biggest change has been cultural, as WeightWatchers wades into a fraught debate: Whose fault is it if you’re fat? And were those decades of WeightWatchers’ count-your-points plans liberating or stigmatizing for millions of customers? WeightWatchers has opted to apologize for much of what made it iconic.⁠
⁠
“We want to be the first to say where we got it wrong,” Sistani said. ⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo illustration: Dana Smith, @fmrphoto / WSJ; AP (2), Getty Images (4)",6782,383
CybHgmcsnFE,2023-10-15 15:00:30,GraphImage,"Even as 5G mobile networks begin to expand in India, about half of the country’s 1.4 billion people remain disconnected from the Internet. ⁠
⁠
Billionaire Mukesh Ambani is betting a new web-enabled mobile phone that costs about $12 can change that and win yet more customers for his dominant wireless-network provider.⁠
⁠
The device, launched in July by Ambani’s Reliance Jio Infocomm, resembles the simple, durable Nokia phones from decades past. It has a physical keyboard, a small screen and a camera, and comes in basic colors like blue, black, gray and red.⁠
⁠
While the device isn’t 5G-capable, it offers 4G speeds, meaning it can stream music and video via pre-installed apps from Reliance Jio’s services. The phone can also be used to make digital payments, a practice that has boomed in India in recent years.⁠
⁠
Many Indians who are online access the Internet via smartphones. But a smartphone in India typically costs more than $250, far out of reach for millions of people who make just a few dollars a day. ⁠
⁠
After paying $12 for Reliance Jio’s new device, customers pay about $1.50 a month for unlimited voice calls and 14 gigabytes of data, a lower rate than services from rival carriers.⁠
⁠
The initial one million units the company released appear to be selling well so far, says Tarun Pathak, director at India-based Counterpoint Research. “However, we believe that it is still a long road ahead for Jio to capture over 200 million 2G users,” he says, given challenges such as limited battery life and small screen size.⁠
⁠
Read more at the link in our bio.⁠
⁠
📷: @smitashrm for @wsjphotos",4801,103
