user_id,followers,full_name,is_verified,posts_since_231001
1269598,3877427,NBC News,True,117
188154866,8451979,Fox News,True,614
217723373,19752111,CNN,True,167
1624593034,17772435,The New York Times,True,189
348998292,142180,The Washington Times,True,170
18133069,4583769,The Wall Street Journal,True,75
16278726,26729462,BBC News,True,178
1822638,4936902,Reuters,True,54
5087794,12445052,TIME,True,90
37149867,3474478,Al Jazeera English,True,581
1104933334,40847,Tablet Magazine,True,50
1127989442,944292,Vox,True,41
32509990046,2858614,VICE News,True,70
6946980135,217209,Axios,True,62
21943587,3302381,HuffPost,True,31
