,datetime,url,title
33,2023-10-27 21:22:31.765631,https://www.nbcnews.com/now/video/sirens-and-explosions-heard-over-gaza-as-israel-expands-ground-operation-196591173996,Sirens and explosions heard over Gaza as Israel expands ground ...
34,2023-10-27 21:22:31.765720,https://www.msnbc.com/jonathan-capehart/watch/rep-gregory-meeks-on-israel-s-increased-ground-operation-196609605908,Rep. Gregory Meeks on Israel's increased ground operation
35,2023-10-28 21:22:31.765813,https://www.nbcnews.com/news/world/netanyahu-says-war-entered-second-phase-troops-prepare-long-difficult-rcna122629,Netanyahu says war has entered second phase as troops prepare ...
36,2023-10-28 21:22:31.765904,https://www.nbcnews.com/video/netanyahu-says-israel-will-expand-ground-operations-in-gaza-196617797577,Netanyahu says Israel will expand ground operations in Gaza
37,2023-10-28 21:22:31.765995,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-border-kibbutz-massacre-rebuild-rcna121593,'This is my home': Israel's kibbutz communities look to rebuild after ...
38,2023-10-27 21:22:31.766087,https://www.msnbc.com/alex-wagner-tonight/watch/dramatic-increase-in-israeli-bombardment-of-gaza-escalation-may-presage-ground-invasion-196595269913,Dramatic increase in Israeli bombardment of Gaza; escalation may ...
39,2023-10-27 21:22:31.766182,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-us-hits-iran-linked-targets-syria-rcna122442,"Israeli ground operation in Gaza is increasing, military says"
40,2023-10-27 21:22:32.851527,https://www.nbcnews.com/meet-the-press/video/israel-intensifies-strikes-in-gaza-you-can-hear-some-of-the-explosions-richard-engel-reports-196569669880,Israel intensifies strikes in Gaza: 'You can hear some of the ...
41,2023-10-27 21:22:32.851639,https://www.msnbc.com/andrea-mitchell-reports/watch/rep-slotkin-fallujah-was-too-deadly-for-success-dod-must-have-tough-conversations-on-gaza-196556869853,Rep. Slotkin: Fallujah was 'too deadly' for success; DoD must have ...
42,2023-10-27 21:22:32.851730,https://www.msnbc.com/the-beat-with-ari/watch/defining-terrorism-are-hamas-s-attacks-equivalent-to-military-bombings-terror-expert-explains-196574789790,Defining terrorism: Are Hamas's attacks 'equivalent' to military ...
43,2023-10-26 21:22:32.851829,https://www.nbcnews.com/video/u-n-official-compares-aid-trucks-reaching-gaza-before-and-after-war-196524613963,U.N. official compares aid trucks reaching Gaza before and after war
44,2023-10-27 21:22:32.851922,https://www.nbcnews.com/now/video/palestinian-family-grapples-with-staying-together-in-gaza-196549189860,Palestinian family grapples with staying together in Gaza
45,2023-10-27 21:22:32.852015,https://www.nbcnews.com/news/world/told-leave-northern-gaza-palestinian-family-staying-put-rcna122362,"Told to leave northern Gaza, this Palestinian family is staying put"
46,2023-10-27 21:22:32.852108,https://www.nbcnews.com/tech/internet/internet-blackout-hits-gaza-israel-ramps-strikes-rcna122531,Near-total internet and cellular blackout hits Gaza as Israel ramps up ...
47,2023-10-27 21:22:32.852205,https://www.nbcnews.com/nightly-news/video/many-americans-in-gaza-still-trying-to-get-out-amid-israel-hamas-war-196584517640,Many Americans in Gaza still trying to get out amid Israel-Hamas war
48,2023-10-27 21:22:32.852299,https://www.nbcnews.com/now/video/internet-cut-in-gaza-as-israel-intensifies-ground-operation-196557381613,Internet cut in Gaza as Israel intensifies ground operation
49,2023-10-27 21:22:32.852391,https://www.msnbc.com/jose-diaz-balart/watch/israeli-artillery-fire-heard-as-richard-engel-reports-near-gaza-border-196555333578,Israeli artillery fire heard as Richard Engel reports near Gaza border
50,2023-10-27 21:22:33.936417,https://www.nbcnews.com/nightly-news/video/israel-announces-expanding-ground-operations-against-hamas-in-gaza-196582469939,Israel announces expanding ground operations against Hamas in ...
51,2023-10-27 21:22:33.936546,https://www.msnbc.com/andrea-mitchell-reports/watch/richard-engel-as-long-as-hamas-is-dug-in-in-gaza-israel-will-continue-to-bomb-them-196556869676,"Richard Engel: 'As long as Hamas is dug in' in Gaza, 'Israel will ..."
52,2023-10-26 21:22:33.936663,https://www.today.com/video/israel-conducts-new-raids-inside-gaza-as-humanitarian-crisis-grows-196527173789,Israel conducts new raids inside Gaza as humanitarian crisis grows
53,2023-10-27 21:22:33.936773,https://www.msnbc.com/chris-jansing-reports/watch/israeli-military-says-ground-forces-are-expanding-gaza-operations-196556357636,Israeli military says ground forces are expanding Gaza operations
