Unnamed: 0,datetime,url,title,owner_username
23,2023-10-30 04:22:30.677576,https://www.nbcnews.com/news/morning-rundown-october-30-rcna122720,Hostage talks with Hamas stall and tributes pour in for Matthew ...,NBCNews
24,2023-10-29 21:22:30.677681,https://www.msnbc.com/weekends-with-alex-witt/watch/biden-to-call-netanyahu-following-decision-to-expand-ground-operation-in-gaza-196648517924,Biden to call Netanyahu following decision to expand ground ...,NBCNews
25,2023-10-29 21:22:30.677792,https://www.msnbc.com/ali-velshi/watch/challenges-of-life-in-gaza-before-this-war-196649541881,Challenges of Life in Gaza before this War,NBCNews
26,2023-10-29 21:22:30.677899,https://www.msnbc.com/inside-with-jen-psaki/watch/jake-sullivan-on-endgame-in-israel-hamas-war-we-need-a-political-horizon-for-the-palestinian-people-196655173762,Jake Sullivan on 'endgame' in Israel-Hamas war: 'We need a ...,NBCNews
27,2023-10-28 21:22:30.678009,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-airstrikes-gaza-ground-operation-rcna122596,Airstrikes pound Gaza as Israel expands ground operation,NBCNews
28,2023-10-28 21:22:30.678117,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-iran-hezbollah-wider-conflict-middle-east-rcna122652,Israel-Gaza conflict could spread into Middle East war with Iran,NBCNews
29,2023-10-28 21:22:30.678223,https://www.today.com/video/israel-intensifies-war-in-gaza-with-troops-on-the-ground-196641349664,Israel intensifies war in Gaza with troops on the ground,NBCNews
30,2023-10-27 21:22:31.765328,https://www.nbcnews.com/video/israel-hamas-war-protest-closes-nyc-s-grand-central-terminal-196592197882,Israel-Hamas war protest closes NYC's Grand Central Terminal,NBCNews
31,2023-10-28 21:22:31.765440,https://www.msnbc.com/msnbc/watch/netanyahu-announces-idf-will-expand-ground-operations-in-gaza-196617285611,Netanyahu announces IDF will expand ground operations in Gaza,NBCNews
32,2023-10-28 21:22:31.765533,https://www.nbcnews.com/video/erdogan-slams-israel-as-war-criminal-at-pro-palestinian-rally-196617797673,Erdogan slams Israel as 'war criminal' at pro-Palestinian rally,NBCNews
33,2023-10-27 21:22:31.765631,https://www.nbcnews.com/now/video/sirens-and-explosions-heard-over-gaza-as-israel-expands-ground-operation-196591173996,Sirens and explosions heard over Gaza as Israel expands ground ...,NBCNews
34,2023-10-27 21:22:31.765720,https://www.msnbc.com/jonathan-capehart/watch/rep-gregory-meeks-on-israel-s-increased-ground-operation-196609605908,Rep. Gregory Meeks on Israel's increased ground operation,NBCNews
35,2023-10-28 21:22:31.765813,https://www.nbcnews.com/news/world/netanyahu-says-war-entered-second-phase-troops-prepare-long-difficult-rcna122629,Netanyahu says war has entered second phase as troops prepare ...,NBCNews
36,2023-10-28 21:22:31.765904,https://www.nbcnews.com/video/netanyahu-says-israel-will-expand-ground-operations-in-gaza-196617797577,Netanyahu says Israel will expand ground operations in Gaza,NBCNews
37,2023-10-28 21:22:31.765995,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-border-kibbutz-massacre-rebuild-rcna121593,'This is my home': Israel's kibbutz communities look to rebuild after ...,NBCNews
38,2023-10-27 21:22:31.766087,https://www.msnbc.com/alex-wagner-tonight/watch/dramatic-increase-in-israeli-bombardment-of-gaza-escalation-may-presage-ground-invasion-196595269913,Dramatic increase in Israeli bombardment of Gaza; escalation may ...,NBCNews
39,2023-10-27 21:22:31.766182,https://www.nbcnews.com/news/world/live-blog/israel-hamas-war-live-updates-us-hits-iran-linked-targets-syria-rcna122442,"Israeli ground operation in Gaza is increasing, military says",NBCNews
40,2023-10-27 21:22:32.851527,https://www.nbcnews.com/meet-the-press/video/israel-intensifies-strikes-in-gaza-you-can-hear-some-of-the-explosions-richard-engel-reports-196569669880,Israel intensifies strikes in Gaza: 'You can hear some of the ...,NBCNews
41,2023-10-27 21:22:32.851639,https://www.msnbc.com/andrea-mitchell-reports/watch/rep-slotkin-fallujah-was-too-deadly-for-success-dod-must-have-tough-conversations-on-gaza-196556869853,Rep. Slotkin: Fallujah was 'too deadly' for success; DoD must have ...,NBCNews
42,2023-10-27 21:22:32.851730,https://www.msnbc.com/the-beat-with-ari/watch/defining-terrorism-are-hamas-s-attacks-equivalent-to-military-bombings-terror-expert-explains-196574789790,Defining terrorism: Are Hamas's attacks 'equivalent' to military ...,NBCNews
43,2023-10-26 21:22:32.851829,https://www.nbcnews.com/video/u-n-official-compares-aid-trucks-reaching-gaza-before-and-after-war-196524613963,U.N. official compares aid trucks reaching Gaza before and after war,NBCNews
44,2023-10-27 21:22:32.851922,https://www.nbcnews.com/now/video/palestinian-family-grapples-with-staying-together-in-gaza-196549189860,Palestinian family grapples with staying together in Gaza,NBCNews
45,2023-10-27 21:22:32.852015,https://www.nbcnews.com/news/world/told-leave-northern-gaza-palestinian-family-staying-put-rcna122362,"Told to leave northern Gaza, this Palestinian family is staying put",NBCNews
46,2023-10-27 21:22:32.852108,https://www.nbcnews.com/tech/internet/internet-blackout-hits-gaza-israel-ramps-strikes-rcna122531,Near-total internet and cellular blackout hits Gaza as Israel ramps up ...,NBCNews
