url_code,time_utc,type,caption,likes,comments
CyUbA-IsQYZ,2023-10-13 00:36:11,GraphImage,"A former leader of Hamas called on global Muslims to join the fight against Israel and stage protests in support of the Palestinian cause five days after terrorists stormed the barricade around Gaza and slaughtered more than 1,000 Israeli civilians.",77,31
CyUTOvxNgdX,2023-10-12 23:28:17,GraphImage,"Fall into digital subscription savings! ⁠
⁠
Follow 🔗 in our bio to save on your digital subscription.",36,0
CyULkXTp1ev,2023-10-12 22:24:02,GraphVideo,"""We're obviously doing everything we can to support and inform the families. Now, sadly, five more families have now gotten the worst possible news that any family can conceive of getting,"" said NSC spokesperson John Kirby.",147,34
CyUD5RZsX5w,2023-10-12 21:14:09,GraphImage,"CBO said the deficit was $1.69 trillion for the 12 months that began Oct. 1, 2022 and ended Sept. 30.⁠
⁠
And it would have been even worse — at $2 trillion — but for the Supreme Court’s ruling in June invalidating Mr. Biden’s massive student loan forgiveness plan. CBO said the government ended up crediting more than $300 billion in savings because of money it can no longer spend on Mr. Biden’s vision.",42,5
CyT8dWYRdGs,2023-10-12 20:09:11,GraphImage,"Mr. McCarthy, who acted as speaker for less than nine months, was removed from the position last week in a 216-210 vote. Only eight Republicans joined with House Democrats to vote him out.",40,4
CyTzyBuOXeD,2023-10-12 18:56:05,GraphVideo,"Hamas terrorists have wreaked havoc on Israel and others with similar anti-Semitic views are now seeking to do the same. ⁠
⁠
Alex Traiman, CEO of Jewish News Syndicate and Jerusalem bureau chief, gives a first-hand account of what he’s seeing and hearing on the ground in Israel, and offers analysis on where it’s all heading.⁠
⁠
Watch this special episode of #boldandblunt using the link in our bio.",56,8
CyTsGZ6M2wY,2023-10-12 17:46:13,GraphImage,"“It’s not a war or a battlefield; it’s a massacre,” Israel Defense Forces Maj. Gen. Itai Veruv told the country’s i24NEWS channel. “You see the babies, the mother, the father, in their bedrooms, in their protection rooms, and how the terrorists killed them.”",45,2
CyTkT75sgTQ,2023-10-12 16:38:09,GraphImage,"A group of conservative holdouts dashed Republicans’ plans to elect a House speaker on Wednesday, leaving the chamber paralyzed for a second week as lawmakers struggled to unite their conference behind a candidate.",48,8
CyTcpgvsIeA,2023-10-12 15:34:21,GraphVideo,"On Thursday's Front Page: A group of conservative holdouts have dashed Republicans’ plans to elect a House speaker, Israeli leaders have announced a historic wartime government and ramped up a massive counterattack against Hamas, and more.",44,3
CyTU-rctGGd,2023-10-12 14:24:18,GraphImage,"The worst fighting in Israel in a quarter century has many worried that the clash with Hamas could spiral far beyond Gaza and trigger a war that draws in regional and even global powers, including the U.S., China and Russia.",135,16
CyTNmXbtJV6,2023-10-12 13:20:35,GraphVideo,"#TopoftheTimes: Auto companies are laying off workers in response to the strikes.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",38,0
CyR944pN1yQ,2023-10-12 01:43:14,GraphImage,Today's Washington Times #huntertoon:,202,92
CyR2OCGoJ6m,2023-10-12 00:36:13,GraphImage,"“Joe Biden is trying to change the news cycle while Hamas terrorists commit atrocities in Israel, 22 Americans are dead, families of those kidnapped are pleading for help, and Iran is pocketing $6 billion in US tax dollars. Biden’s policies are junk and Americans are ready to take out the trash.” said RNC Spokesperson Anna Kelly.",132,22
CyRucKionTZ,2023-10-11 23:28:14,GraphImage,"Using Homeland Security’s data, the House Judiciary committee delivered the most comprehensive look to date at the border chaos. The report examines who has crossed illegally, how many have been released and how the administration has struggled to deal with the migrants once they are in the U.S.",52,9
CyRmyUJNDqn,2023-10-11 22:24:02,GraphVideo,"""While saying this, I want to also just speak about the responsibility that the U.S. administration, President Biden, and the Secretary of State (Antony) Blinken has for the lives of every U.S. citizen that is out there and they're responsible to bring the U.S. citizens back home safe and sound.”",135,8
