url_code,time_utc,type,caption,likes,comments
Cyjb-SWsnnR,2023-10-18 20:33:09,GraphImage,"“That Tiktok challenge of how to steal the Kias and Hyundais, that was the biggest thing,” Matt Nalett, who operates the volunteer-run Chicago Stolen Car Directory on Facebook, told WTTW-TV in August. “And kids are like, ‘We got nothing to do, let’s steal cars.’ When they were out that two years of COVID, they were bored and had nothing to do and stealing cars left and right.”",30,4
CyjTKnBSsmb,2023-10-18 19:16:14,GraphImage,"Republicans at 54% sided with Israel’s position more than Democrats at 37%.⁠
⁠",56,9
CyjE3BDM_RS,2023-10-18 17:14:03,GraphVideo,President Biden said Wednesday that U.S. intelligence corroborates Israel‘s claim that it was not to blame for the deadly explosion at a Gaza hospital that killed 500 people and sparked mass protests in Arab nations.,129,34
Cyi9FdDSUC6,2023-10-18 16:03:17,GraphImage,Republican lawmakers are demanding assurances that Homeland Security Secretary Alejandro Mayorkas won’t attempt a repeat of the Afghanistan airlift fiasco with Palestinians seeking to flee the war between Israel and Hamas.,142,20
Cyi1iTzMiZE,2023-10-18 15:00:46,GraphVideo,"On Wednesday's #FrontPage: Republicans tried, but failed, to elect a new speaker of the House, leaving the chamber on the verge of a third week in limbo, Israel has ramped up airstrikes against Hamas targets in Gaza, and more.",29,2
Cyitv08A4r6,2023-10-18 13:49:13,GraphImage,"Mr. Biden’s remarks back Israel‘s claim that it wasn’t responsible for the attack, but also underscores how quickly the situation is evolving. In a statement on the attack Tuesday, Mr. Biden said his national security team would “continue gathering information about exactly what happened.”",118,19
CyilzS-NyeJ,2023-10-18 12:40:43,GraphVideo,"#TopoftheTimes: Pentagon schools outperform public schools.

Tune in as The Washington Times' Tim Constantine discusses today's top stories",39,1
CyhTOYAIa0u,2023-10-18 00:38:15,GraphImage,"The Emerson College Polling Survey shows a race in which Mr. Biden generally holds an edge over Mr. Trump, the clear Republican front-runner. Yet the numbers are much tighter than Democrats would like as the ex-president battles a series of civil and criminal cases.",167,88
CyhLGP-tN3p,2023-10-17 23:27:17,GraphImage,"“We’re the United States of America, for God’s sake. The most powerful nation in the history of the world. We can take care of both of these and still maintain our overall international defense,” Mr. Biden said.",105,55
Cygz3PqMvXH,2023-10-17 20:04:11,GraphImage,"With a humanitarian crisis growing in Gaza and escalation concerns mounting, the Biden administration scrambled through the weekend to try to calm regional nerves while attempting to deter Iran and Hezbollah from further provocations.",101,32
