url_code,time_utc,type,caption,likes,comments
Cyo9RQArUA_,2023-10-21 00:00:12,GraphImage,"'DON'T FALL FOR IT': @nikkihaley calls on Israel to ""stay focused"" and the U.S. to ""have their back"" after two American hostages released from Gaza.",10169,1257
Cyo2ZbGv6Gs,2023-10-20 23:00:10,GraphImage,13 DAYS LATER: Judith and Natalie Raanan have been released from Gaza after being kidnapped by Hamas. Everything to know at the link in bio.,25517,1421
CyoviGnudJx,2023-10-20 22:00:11,GraphImage,"MONEY TRAIL: James Comer and his panel are following the money after new evidence about the president's ""financial arrangements"" were uncovered. The latest on the investigation is at the link in bio.",16787,2146
Cyos6yWxrhe,2023-10-20 21:37:40,GraphVideo,RUNNING FOR COVER: Moment 'Squad' firebrand stonewalls Fox Business reporter's questions on Israel 'ceasefire.' Link in bio.,21701,2759
CyohzfRte1z,2023-10-20 20:00:13,GraphImage,"HOSTILE CLIMATE: The activist's original post included a known antisemitic dog whistle. She claims she was ""completely unaware"" at the link in bio.",16242,4767
Cyobt--hSIX,2023-10-20 19:07:02,GraphImage,'TERRIBLE POSITION': GOP presidential hopeful @nikkihaley hammers Biden's weak foreign policy that led to chaos throughout the Middle East. Link in bio.,8417,1258
CyoWGh1rAVa,2023-10-20 18:17:57,GraphImage,"13 DAYS LATER: Two American hostages released from Gaza, Fox News is told. Breaking details at the link in bio.",22266,1467
CyoV4rSLSbF,2023-10-20 18:16:04,GraphImage,'SEPARATE PROBLEM': @senatorvance accuses Biden of using Israel's fight against Hamas to push aid for Ukraine. Link in bio.,16631,1121
CyoRrrzp0c1,2023-10-20 17:39:59,GraphVideo,"Two American hostages released from Gaza, Fox News is told. @treyyingst has the latest. Link in bio.",6655,779
CyoOxOuJAMT,2023-10-20 17:13:53,GraphImage,RELEASED: Breaking details at the link in bio.,10773,876
CyoNM1ogULP,2023-10-20 17:00:12,GraphImage,"HOT TAKES: ""Maxim doesn't know what hot means or what a woman is."" Social media torches the outlet at the link in bio.",31157,10704
CyoJGHkLiz6,2023-10-20 16:24:18,GraphImage,KEEPS GETTING WORSE: Rep. Jim Jordan hit by third loss in House speaker vote. Live updates at the link in bio.,7282,3271
CyoGWfareQP,2023-10-20 16:00:20,GraphImage,'UNBELIEVABLE': Republican presidential candidate @senatortimscott slams Biden for focusing more on Ukraine than the terror in Israel during Oval Office speech. Link in bio.,15129,1185
Cyn_ecmthHs,2023-10-20 15:00:15,GraphImage,RAKING IT IN: The eye-popping amount the former educator has made outside the classroom at the link in bio.,36283,2837
Cyn6EwjAkuj,2023-10-20 14:13:04,GraphImage,'GOT WORK TO DO': Rep. Jim Jordan stays in House speaker race despite early struggles. Link in bio.,12793,1220
CynzjW6sNL7,2023-10-20 13:16:28,GraphVideo,"RAISING THE BAR: The brand touted its pledge to make a ""powerful impact"" on the lives of military families. Link in bio.",8062,1411
CynuYghssEW,2023-10-20 12:30:54,GraphImage,"'HUNGRY FOR LEADERSHIP': Despite failed efforts thus far, the Ohio Republican is urging the conference to unite and ""get to work for the American people."" Breaking details at the link in bio.",8950,1029
CynoQdjsSMR,2023-10-20 11:37:21,GraphImage,‘REVEALING MOMENT’: Dem Sen. Chris Van Hollen said the resolution would “smear” all pro-Palestinian students protesting. Link in bio.,7778,2316
CyndJgRsxsu,2023-10-20 10:00:17,GraphImage,HAVE MERCY: John Stamos shares why he 'hated' being married to the supermodel at the link in bio.,8478,502
CynWQ6mMgp4,2023-10-20 09:00:08,GraphImage,NOT BUDGING: The Dem congresswoman cried while repeating the now debunked claim that IDF were responsible for the bomb that hit a hospital in Gaza. Link in bio.,11618,8763
CynPaGlsFMg,2023-10-20 08:00:14,GraphImage,SCANDAL SWIRLS: Sen. Bob Menendez and his wife are accused of taking part in a bribery scheme that allegedly benefited Menendez and the Egyptian government. Link in bio.,9644,785
CynIi_NMU30,2023-10-20 07:00:16,GraphImage,TENSIONS BREWING: Starbucks says the union’s use of its name and logo in a controversial pro-Palestine post has caused “irreparable harm.” Link in bio.,12176,1326
CynBq_ht0dv,2023-10-20 06:00:12,GraphImage,'AWESOME SONG': Find out which musician nearly snagged the hit at the link in bio. Link in bio.,6775,195
Cym6zrRtEXY,2023-10-20 05:00:14,GraphImage,'PAY FOR SLAY': How the policy could be used to encourage more terror against Jews and Israelis at the link in bio.,6233,1295
Cymz8GoNU95,2023-10-20 04:00:11,GraphImage,PUMPING IRON: These aren't your average dad bods. Discover their insane diet secrets at the link in bio.,11014,1431
CymtEhLtoG4,2023-10-20 03:00:11,GraphImage,'BLOOD ON THE FLOOR': @TreyYingst urges Americans to 'believe their eyes' as Fox News shows Israel communities diminished to piles of 'charged remains' after deadly Hamas terror attacks.,7266,1164
CymnA_JtFyH,2023-10-20 02:07:16,GraphImage,‘NO HIGHER PRIORITY’: President Biden speaks on the Americans being held hostage by Hamas during his address to the nation. Link in bio.,4902,2090
CymYeeiuywD,2023-10-20 00:00:14,GraphImage,MONEY MADNESS: The Tesla CEO still remains the world’s richest person despite the loss. The reason his net worth dropped is at the link in our bio.,10276,510
CymRnJcgPTg,2023-10-19 23:00:20,GraphImage,SHORT QUESTIONS: Fox News contributor Guy Benson reveals the three U.S. presidents he’d invite to a dinner party — and what he would serve. Link in bio.,2037,201
CymKv0Wr-Z4,2023-10-19 22:00:15,GraphImage,"WIPING OUT WOKENESS: Gov. Sanders is setting the record straight on femininity in Arkansas. She introduced an executive order to mandate the use of gender-specific terms when describing females, and prohibited “anti-women” words. Link in bio.",17110,738
CymD4Mgv2m4,2023-10-19 21:00:14,GraphImage,NO LAUGHING MATTER: Robin Williams' friends open up about the grip addiction had on the beloved comedian at the link in bio.,13685,1288
Cyl9AWPscHx,2023-10-19 20:00:11,GraphImage,"UNDER FIRE: Gen. Pat Ryder said during a press conference at the Pentagon that the missiles were heading ""potentially towards targets in Israel."" Link in bio.",25444,1318
Cyl2JLlsX2f,2023-10-19 19:00:14,GraphImage,'ALL OR NOTHING': Cher plans to pack her bags and leave the US if Trump comes out on top in 2024. Link in bio.,85748,53658
CylvRmDtn_P,2023-10-19 18:00:12,GraphImage,"'THEY DON'T CARE': Son of Hamas leader breaks silence on decision to denounce terror group, says they ""do not regard the human life"" at the lnk in bio.",34236,2504
CyloaSWtTII,2023-10-19 17:00:13,GraphImage,'DON'T TRUST ANY OF YOU': @MichaelRapaport rails against Democrat lawmakers over false claims about Israel. Link in bio.,57917,5683
CyllSocOEHu,2023-10-19 16:32:58,GraphImage,"BREAKING: The official urged soldiers to ""be ready"" for orders to advance inside Gaza. Live updates at the link in bio.",19639,2146
CylhkEzvve7,2023-10-19 16:00:24,GraphImage,'BRING ON THE COURT CASE': J.K. Rowling explains why the legal fight would be worth it at the link in bio.,79066,1251
CylfL_Bx60m,2023-10-19 15:39:38,GraphImage,QUITTING TIME: The decision comes after Jordan lost support on the second ballot Wednesday. Link in bio.,8547,2062
CylbKUOvepF,2023-10-19 15:05:05,GraphVideo,‘VERY CONCERNED’: Kayleigh McEnany blasts “The Squad” for “standing up for terrorists” by not condemning Hamas on “Jesse Watters Primetime.”,14059,1228
CylXLAhy1ly,2023-10-19 14:29:36,GraphImage,BREAKING: Natalee Holloway's family finally got answers about her 2005 disappearance in court. Listen to the graphic confession from the killer himself at the link in bio.,8006,949
CylTzliJpSs,2023-10-19 14:00:10,GraphImage,"'RIP': Sylvester Stallone pays tribute to 'Rocky' costar Burt Young, who passed away at the age of 83.  Link in bio.",23398,417
CylNO1ppeV3,2023-10-19 13:04:05,GraphVideo,"WARNING - GRAPHIC VIDEO: Amid chaos and terror, @TreyYingst shares miraculous story where brother of Fox News engineer survived after his Israel home was set on fire by Hamas terrorists.",9637,1441
CylGQDMxDU7,2023-10-19 12:02:37,GraphVideo,"""[Hamas] are using Palestinian people as a human shield. We need to free Gaza from Hamas. This is what Israel is doing, it's doing the Palestinian people the greatest favor by bringing Hamas down."" Son of founding Hamas leader speaks out on deadly terror attacks after turning against ""his own blood.""",48082,3764
Cyk_NLfMKHf,2023-10-19 11:00:10,GraphImage,'PRAYERS ANSWERED': What started off as a normal trip quickly unraveled after terrorists launched an attack on Israel. Fox News Digital shares the harrowing journey to get the group home at the link in bio.,21926,537
Cyk4Wr1M2Bj,2023-10-19 10:00:18,GraphImage,'BLOOD IS ON IRAN'S HANDS': GOP senators ramp up push to refreeze $6B in Iranian funds as Israel-Hamas war rages on. Details at the link in bio.,18230,1553
Cykqms3uNiL,2023-10-19 08:00:10,GraphImage,"TURNING THE TABLES: ""Progressives supported cancel culture with a vengeance, even calling it 'consequence culture.' Now, it's time for mutually assured destruction,"" writes Karol Markowicz. Link in bio.",12623,1947
Cykc3yoNnyD,2023-10-19 06:00:09,GraphImage,PERSONAL FOUL: The 7-time Super Bowl champ detailed the differences of watching from the comfort of your couch at the link in bio.,10877,211
